523 [4.67e-01, 4.63e-01]
524 [4.67e-01, 4.63e-01]
525 [4.67e-01, 4.63e-01]
526 [4.67e-01, 4.63e-01]
527 [4.67e-01, 4.63e-01]
528 [4.67e-01, 4.63e-01]
529 [4.67e-01, 4.63e-01]
530 [4.67e-01, 4.63e-01]
531 [4.67e-01, 4.63e-01]
532 [4.67e-01, 4.63e-01]
533 [4.67e-01, 4.63e-01]
534 [4.67e-01, 4.63e-01]
535 [4.67e-01, 4.63e-01]
536 [4.67e-01, 4.63e-01]
537 [4.67e-01, 4.63e-01]
538 [4.67e-01, 4.63e-01]
539 [4.67e-01, 4.63e-01]
540 [4.67e-01, 4.63e-01]
541 [4.67e-01, 4.63e-01]
542 [4.67e-01, 4.63e-01]
543 [4.67e-01, 4.63e-01]
544 [4.67e-01, 4.63e-01]
545 [4.67e-01, 4.63e-01]
546 [4.67e-01, 4.63e-01]
547 [4.67e-01, 4.63e-01]
548 [4.67e-01, 4.63e-01]
549 [4.67e-01, 4.63e-01]
550 [4.67e-01, 4.63e-01]
551 [4.67e-01, 4.63e-01]
552 [4.67e-01, 4.63e-01]
553 [4.67e-01, 4.63e-01]
554 [4.67e-01, 4.63e-01]
555 [4.67e-01, 4.63e-01]
556 [4.67e-01, 4.63e-01]
557 [4.67e-01, 4.63e-01]
558 [4.67e-01, 4.63e-01]
559 [4.67e-01, 4.63e-01]
560 [4.67e-01, 4.63e-01]
561 [4.67e-01, 4.63e-01]
562 [4.67e-01, 4.63e-01]
563 [4.67e-01, 4.63e-01]
564 [4.67e-01, 4.63e-01]
565 [4.67e-01, 4.63e-01]
566 [4.67e-01, 4.63e-01]
567 [4.67e-01, 4.63e-01]
568 [4.67e-01, 4.63e-01]
569 [4.67e-01, 4.63e-01]
570 [4.67e-01, 4.63e-01]
571 [4.67e-01, 4.63e-01]
572 [4.67e-01, 4.63e-01]
573 [4.67e-01, 4.63e-01]
574 [4.67e-01, 4.63e-01]
575 [4.67e-01, 4.63e-01]
576 [4.67e-01, 4.63e-01]
577 [4.67e-01, 4.63e-01]
578 [4.67e-01, 4.63e-01]
579 [4.67e-01, 4.63e-01]
580 [4.67e-01, 4.63e-01]
581 [4.67e-01, 4.63e-01]
582 [4.67e-01, 4.63e-01]
583 [4.67e-01, 4.63e-01]
584 [4.67e-01, 4.63e-01]
585 [4.67e-01, 4.63e-01]
586 [4.67e-01, 4.63e-01]
587 [4.67e-01, 4.63e-01]
588 [4.67e-01, 4.63e-01]
589 [4.67e-01, 4.63e-01]
590 [4.67e-01, 4.63e-01]
591 [4.67e-01, 4.63e-01]
592 [4.67e-01, 4.63e-01]
593 [4.67e-01, 4.62e-01]
594 [4.67e-01, 4.62e-01]
595 [4.67e-01, 4.62e-01]
596 [4.67e-01, 4.62e-01]
597 [4.67e-01, 4.62e-01]
598 [4.67e-01, 4.62e-01]
599 [4.67e-01, 4.62e-01]
600 [4.67e-01, 4.62e-01]
601 [4.67e-01, 4.62e-01]
602 [4.67e-01, 4.62e-01]
603 [4.67e-01, 4.62e-01]
604 [4.67e-01, 4.62e-01]
605 [4.67e-01, 4.62e-01]
606 [4.67e-01, 4.62e-01]
607 [4.67e-01, 4.62e-01]
608 [4.67e-01, 4.62e-01]
609 [4.67e-01, 4.62e-01]
610 [4.67e-01, 4.62e-01]
611 [4.67e-01, 4.62e-01]
612 [4.67e-01, 4.62e-01]
613 [4.67e-01, 4.62e-01]
614 [4.67e-01, 4.62e-01]
615 [4.67e-01, 4.62e-01]
616 [4.67e-01, 4.62e-01]
617 [4.67e-01, 4.62e-01]
618 [4.67e-01, 4.62e-01]
619 [4.67e-01, 4.62e-01]
620 [4.67e-01, 4.62e-01]
621 [4.67e-01, 4.62e-01]
622 [4.67e-01, 4.62e-01]
623 [4.67e-01, 4.62e-01]
624 [4.67e-01, 4.62e-01]
625 [4.67e-01, 4.62e-01]
626 [4.67e-01, 4.62e-01]
627 [4.67e-01, 4.62e-01]
628 [4.67e-01, 4.62e-01]
629 [4.67e-01, 4.62e-01]
630 [4.67e-01, 4.62e-01]
631 [4.67e-01, 4.62e-01]
632 [4.67e-01, 4.62e-01]
633 [4.67e-01, 4.62e-01]
634 [4.67e-01, 4.62e-01]
635 [4.67e-01, 4.62e-01]
636 [4.67e-01, 4.62e-01]
637 [4.67e-01, 4.62e-01]
638 [4.67e-01, 4.62e-01]
639 [4.67e-01, 4.62e-01]
640 [4.67e-01, 4.62e-01]
