473 [1.16e-02, 3.61e-01]
474 [1.15e-02, 3.59e-01]
475 [1.15e-02, 3.57e-01]
476 [1.14e-02, 3.56e-01]
477 [1.13e-02, 3.54e-01]
478 [1.12e-02, 3.52e-01]
479 [1.12e-02, 3.50e-01]
480 [1.11e-02, 3.49e-01]
481 [1.10e-02, 3.47e-01]
482 [1.10e-02, 3.45e-01]
483 [1.09e-02, 3.44e-01]
484 [1.08e-02, 3.42e-01]
485 [1.07e-02, 3.40e-01]
486 [1.07e-02, 3.39e-01]
487 [1.06e-02, 3.37e-01]
488 [1.05e-02, 3.35e-01]
489 [1.05e-02, 3.34e-01]
490 [1.04e-02, 3.32e-01]
491 [1.03e-02, 3.30e-01]
492 [1.03e-02, 3.29e-01]
493 [1.02e-02, 3.27e-01]
494 [1.01e-02, 3.25e-01]
495 [1.01e-02, 3.24e-01]
496 [9.99e-03, 3.22e-01]
497 [9.92e-03, 3.20e-01]
498 [9.86e-03, 3.19e-01]
499 [9.79e-03, 3.17e-01]
500 [9.73e-03, 3.16e-01]
501 [9.66e-03, 3.14e-01]
502 [9.60e-03, 3.12e-01]
503 [9.53e-03, 3.11e-01]
504 [9.47e-03, 3.09e-01]
505 [9.41e-03, 3.08e-01]
506 [9.34e-03, 3.06e-01]
507 [9.28e-03, 3.04e-01]
508 [9.22e-03, 3.03e-01]
509 [9.16e-03, 3.01e-01]
510 [9.10e-03, 3.00e-01]
511 [9.03e-03, 2.98e-01]
512 [8.97e-03, 2.97e-01]
513 [8.91e-03, 2.95e-01]
514 [8.85e-03, 2.93e-01]
515 [8.79e-03, 2.92e-01]
516 [8.73e-03, 2.90e-01]
517 [8.67e-03, 2.89e-01]
518 [8.61e-03, 2.87e-01]
519 [8.56e-03, 2.86e-01]
520 [8.50e-03, 2.84e-01]
521 [8.44e-03, 2.83e-01]
522 [8.38e-03, 2.81e-01]
523 [8.32e-03, 2.80e-01]
524 [8.27e-03, 2.78e-01]
525 [8.21e-03, 2.77e-01]
526 [8.15e-03, 2.75e-01]
527 [8.10e-03, 2.73e-01]
528 [8.04e-03, 2.72e-01]
529 [7.98e-03, 2.70e-01]
530 [7.93e-03, 2.69e-01]
531 [7.87e-03, 2.67e-01]
532 [7.82e-03, 2.66e-01]
533 [7.76e-03, 2.65e-01]
534 [7.71e-03, 2.63e-01]
535 [7.66e-03, 2.62e-01]
536 [7.60e-03, 2.60e-01]
537 [7.55e-03, 2.59e-01]
538 [7.49e-03, 2.57e-01]
539 [7.44e-03, 2.56e-01]
540 [7.39e-03, 2.54e-01]
541 [7.34e-03, 2.53e-01]
542 [7.28e-03, 2.51e-01]
543 [7.23e-03, 2.50e-01]
544 [7.18e-03, 2.48e-01]
545 [7.13e-03, 2.47e-01]
546 [7.08e-03, 2.46e-01]
547 [7.03e-03, 2.44e-01]
548 [6.98e-03, 2.43e-01]
549 [6.93e-03, 2.41e-01]
550 [6.88e-03, 2.40e-01]
551 [6.83e-03, 2.38e-01]
552 [6.78e-03, 2.37e-01]
553 [6.73e-03, 2.36e-01]
554 [6.68e-03, 2.34e-01]
555 [6.63e-03, 2.33e-01]
556 [6.58e-03, 2.31e-01]
557 [6.53e-03, 2.30e-01]
558 [6.48e-03, 2.29e-01]
559 [6.44e-03, 2.27e-01]
560 [6.39e-03, 2.26e-01]
561 [6.34e-03, 2.25e-01]
562 [6.29e-03, 2.23e-01]
563 [6.25e-03, 2.22e-01]
564 [6.20e-03, 2.21e-01]
565 [6.16e-03, 2.19e-01]
566 [6.11e-03, 2.18e-01]
567 [6.06e-03, 2.16e-01]
568 [6.02e-03, 2.15e-01]
569 [5.97e-03, 2.14e-01]
570 [5.93e-03, 2.12e-01]
571 [5.88e-03, 2.11e-01]
572 [5.84e-03, 2.10e-01]
573 [5.79e-03, 2.08e-01]
574 [5.75e-03, 2.07e-01]
575 [5.71e-03, 2.06e-01]
576 [5.66e-03, 2.05e-01]
577 [5.62e-03, 2.03e-01]
578 [5.57e-03, 2.02e-01]
579 [5.53e-03, 2.01e-01]
580 [5.49e-03, 1.99e-01]
581 [5.45e-03, 1.98e-01]
582 [5.40e-03, 1.97e-01]
583 [5.36e-03, 1.95e-01]
584 [5.32e-03, 1.94e-01]
585 [5.28e-03, 1.93e-01]
586 [5.24e-03, 1.92e-01]
587 [5.20e-03, 1.90e-01]
588 [5.16e-03, 1.89e-01]
589 [5.11e-03, 1.88e-01]
590 [5.07e-03, 1.87e-01]
591 [5.03e-03, 1.85e-01]
592 [4.99e-03, 1.84e-01]
593 [4.95e-03, 1.83e-01]
