0 [1.00e+00, 1.00e+00]
508 [9.69e-01, 9.03e-01]
509 [9.69e-01, 9.03e-01]
510 [9.69e-01, 9.03e-01]
511 [9.69e-01, 9.03e-01]
512 [9.69e-01, 9.03e-01]
513 [9.69e-01, 9.02e-01]
514 [9.69e-01, 9.02e-01]
515 [9.69e-01, 9.02e-01]
516 [9.69e-01, 9.02e-01]
517 [9.69e-01, 9.02e-01]
518 [9.69e-01, 9.01e-01]
519 [9.69e-01, 9.01e-01]
520 [9.69e-01, 9.01e-01]
521 [9.69e-01, 9.01e-01]
522 [9.69e-01, 9.01e-01]
523 [9.69e-01, 9.00e-01]
524 [9.69e-01, 9.00e-01]
525 [9.69e-01, 9.00e-01]
526 [9.69e-01, 9.00e-01]
527 [9.69e-01, 9.00e-01]
528 [9.69e-01, 8.99e-01]
529 [9.69e-01, 8.99e-01]
530 [9.69e-01, 8.99e-01]
531 [9.69e-01, 8.99e-01]
532 [9.69e-01, 8.98e-01]
533 [9.69e-01, 8.98e-01]
