334 [4.50e-01, 2.97e-01]
335 [4.50e-01, 2.97e-01]
336 [4.50e-01, 2.97e-01]
337 [4.50e-01, 2.97e-01]
338 [4.50e-01, 2.97e-01]
339 [4.50e-01, 2.97e-01]
340 [4.49e-01, 2.97e-01]
341 [4.49e-01, 2.97e-01]
342 [4.49e-01, 2.97e-01]
343 [4.49e-01, 2.97e-01]
344 [4.49e-01, 2.97e-01]
345 [4.49e-01, 2.97e-01]
346 [4.49e-01, 2.97e-01]
347 [4.49e-01, 2.96e-01]
348 [4.49e-01, 2.96e-01]
349 [4.49e-01, 2.96e-01]
350 [4.49e-01, 2.96e-01]
351 [4.49e-01, 2.96e-01]
352 [4.49e-01, 2.96e-01]
353 [4.49e-01, 2.96e-01]
354 [4.49e-01, 2.96e-01]
355 [4.48e-01, 2.96e-01]
356 [4.48e-01, 2.96e-01]
357 [4.48e-01, 2.96e-01]
358 [4.48e-01, 2.96e-01]
359 [4.48e-01, 2.96e-01]
360 [4.48e-01, 2.96e-01]
361 [4.48e-01, 2.96e-01]
362 [4.48e-01, 2.96e-01]
363 [4.48e-01, 2.96e-01]
364 [4.48e-01, 2.96e-01]
365 [4.48e-01, 2.96e-01]
366 [4.48e-01, 2.96e-01]
367 [4.48e-01, 2.95e-01]
368 [4.48e-01, 2.95e-01]
369 [4.48e-01, 2.95e-01]
370 [4.48e-01, 2.95e-01]
371 [4.48e-01, 2.95e-01]
372 [4.47e-01, 2.95e-01]
373 [4.47e-01, 2.95e-01]
374 [4.47e-01, 2.95e-01]
375 [4.47e-01, 2.95e-01]
376 [4.47e-01, 2.95e-01]
377 [4.47e-01, 2.95e-01]
378 [4.47e-01, 2.95e-01]
379 [4.47e-01, 2.95e-01]
380 [4.47e-01, 2.95e-01]
381 [4.47e-01, 2.95e-01]
382 [4.47e-01, 2.95e-01]
383 [4.47e-01, 2.95e-01]
384 [4.47e-01, 2.95e-01]
385 [4.47e-01, 2.95e-01]
386 [4.47e-01, 2.95e-01]
387 [4.47e-01, 2.95e-01]
388 [4.47e-01, 2.94e-01]
389 [4.47e-01, 2.94e-01]
390 [4.46e-01, 2.94e-01]
391 [4.46e-01, 2.94e-01]
392 [4.46e-01, 2.94e-01]
393 [4.46e-01, 2.94e-01]
394 [4.46e-01, 2.94e-01]
395 [4.46e-01, 2.94e-01]
396 [4.46e-01, 2.94e-01]
397 [4.46e-01, 2.94e-01]
398 [4.46e-01, 2.94e-01]
399 [4.46e-01, 2.94e-01]
400 [4.46e-01, 2.94e-01]
401 [4.46e-01, 2.94e-01]
402 [4.46e-01, 2.94e-01]
403 [4.46e-01, 2.94e-01]
404 [4.46e-01, 2.94e-01]
405 [4.46e-01, 2.94e-01]
406 [4.46e-01, 2.94e-01]
407 [4.46e-01, 2.93e-01]
408 [4.46e-01, 2.93e-01]
409 [4.46e-01, 2.93e-01]
410 [4.45e-01, 2.93e-01]
411 [4.45e-01, 2.93e-01]
412 [4.45e-01, 2.93e-01]
413 [4.45e-01, 2.93e-01]
414 [4.45e-01, 2.93e-01]
415 [4.45e-01, 2.93e-01]
416 [4.45e-01, 2.93e-01]
417 [4.45e-01, 2.93e-01]
418 [4.45e-01, 2.93e-01]
419 [4.45e-01, 2.93e-01]
420 [4.45e-01, 2.93e-01]
421 [4.45e-01, 2.93e-01]
422 [4.45e-01, 2.93e-01]
423 [4.45e-01, 2.93e-01]
424 [4.45e-01, 2.93e-01]
425 [4.45e-01, 2.93e-01]
426 [4.45e-01, 2.92e-01]
427 [4.45e-01, 2.92e-01]
428 [4.45e-01, 2.92e-01]
429 [4.45e-01, 2.92e-01]
430 [4.45e-01, 2.92e-01]
431 [4.45e-01, 2.92e-01]
432 [4.45e-01, 2.92e-01]
433 [4.44e-01, 2.92e-01]
434 [4.44e-01, 2.92e-01]
435 [4.44e-01, 2.92e-01]
436 [4.44e-01, 2.92e-01]
437 [4.44e-01, 2.92e-01]
438 [4.44e-01, 2.92e-01]
439 [4.44e-01, 2.92e-01]
440 [4.44e-01, 2.92e-01]
441 [4.44e-01, 2.92e-01]
442 [4.44e-01, 2.92e-01]
443 [4.44e-01, 2.92e-01]
444 [4.44e-01, 2.91e-01]
445 [4.44e-01, 2.91e-01]
446 [4.44e-01, 2.91e-01]
447 [4.44e-01, 2.91e-01]
448 [4.44e-01, 2.91e-01]
449 [4.44e-01, 2.91e-01]
450 [4.44e-01, 2.91e-01]
451 [4.44e-01, 2.91e-01]
452 [4.44e-01, 2.91e-01]
453 [4.44e-01, 2.91e-01]
454 [4.44e-01, 2.91e-01]
455 [4.44e-01, 2.91e-01]
456 [4.43e-01, 2.91e-01]
