bo_kom_today,sognekode,sogn,Inviterede_i_sognet,Antal_inviteret_ikke_booket,Andel_inviteret_ikke_booket,Andel_booket,Andel_påbegyndt,Andel_færdigvaccineret
Viborg,8571,"Bigum,Viborg",65,<10,,,,
Viborg,8591,"Lysgård,Viborg",318,38,12%,19%,37%,32%
Viborg,8593,"Almind,Viborg",667,39,6%,12%,36%,46%
Viborg,8594,"Højbjerg,Viborg",450,44,10%,14%,37%,39%
Viborg,8595,"Elsborg,Viborg",281,34,12%,20%,26%,42%
Viborg,8602,"Frederiks,Viborg",1725,171,10%,12%,32%,46%
Viborg,8603,"Karup,Viborg",2111,176,8%,12%,34%,46%
Viborg,8613,"Domkirkens,Viborg",5231,517,10%,15%,29%,46%
Viborg,8614,"Viborg Søndre,Viborg",4436,447,10%,13%,27%,50%
Viborg,8615,"Asmild,Viborg",4148,209,5%,16%,30%,49%
Viborg,8616,"Tapdrup,Viborg",467,45,10%,14%,34%,42%
Viborg,8617,"Vinkel,Viborg",298,38,13%,15%,34%,38%
Viborg,8618,"S Rind,Viborg",409,51,12%,8%,35%,44%
Viborg,8619,"Vindum,Viborg",1297,140,11%,15%,35%,40%
Viborg,8621,"Mammen,Viborg",321,31,10%,21%,38%,31%
Viborg,8622,"Bjerringbro,Viborg",3108,247,8%,12%,31%,49%
Viborg,8624,"Lee,Viborg",190,25,13%,17%,44%,25%
Viborg,8625,"Hjorthede,Viborg",179,35,20%,17%,29%,34%
Viborg,8627,"Skjern,Viborg",315,34,11%,15%,32%,42%
Viborg,8634,"Tjele,Viborg",187,16,9%,10%,50%,32%
Viborg,8635,"N Vinge,Viborg",54,11,20%,11%,41%,28%
Viborg,8636,"Ørum,Viborg",1227,109,9%,13%,30%,48%
Viborg,8637,"Viskum,Viborg",163,14,9%,11%,40%,40%
Viborg,8638,"Vejrum,Viborg",372,38,10%,14%,32%,44%
Viborg,8639,"Vorning,Viborg",248,30,12%,14%,35%,39%
Viborg,8640,"Kvorning,Viborg",198,19,10%,15%,35%,40%
Viborg,8641,"Hammershøj,Viborg",651,57,9%,16%,31%,44%
Viborg,9079,"Vestervang,Viborg",3447,252,7%,15%,33%,44%
Viborg,9126,"Søndermark,Viborg",4296,336,8%,16%,32%,44%
Viborg,9149,"Houlkær,Viborg",3244,265,8%,13%,31%,48%
Viborg,9168,"Iglsø,Viborg",275,26,9%,13%,36%,41%
Viborg,9214,"Bjerring,Viborg",1432,95,7%,13%,34%,47%
Viborg,9215,"Hjermind,Viborg",628,47,7%,14%,43%,36%
Vordingborg,,,37,24,65%,8%,14%,14%
Vordingborg,7466,"Præstø,Vordingborg",1280,181,14%,10%,31%,45%
Vordingborg,7468,"Skibinge,Vordingborg",2214,177,8%,6%,35%,51%
Vordingborg,7469,"Vordingbg,Vordingbg",8532,972,11%,10%,32%,47%
Vordingborg,7470,"Kastrup,Vordingborg",1711,233,14%,9%,40%,37%
Vordingborg,7471,"Jungshoved,Vordingbo",572,88,15%,7%,34%,43%
Vordingborg,7474,"Bårse,Vordingborg",491,75,15%,9%,35%,41%
Vordingborg,7475,"Beldringe,Vordingbor",249,36,14%,11%,40%,35%
Vordingborg,7476,"Allerslev,Vordingbor",444,67,15%,11%,37%,36%
Vordingborg,7477,"Udby,Vordingborg",194,22,11%,8%,41%,39%
Vordingborg,7478,"Ørslev,Vordingborg",1411,124,9%,11%,39%,41%
Vordingborg,7479,"Ø Egesborg,Vordingb",412,50,12%,11%,44%,32%
Vordingborg,7480,"Mern,Vordingborg",995,119,12%,11%,39%,39%
Vordingborg,7481,"Kalvehave,Vordingbor",1517,149,10%,6%,37%,48%
Vordingborg,7483,"Stege,Vordingborg",3622,438,12%,7%,33%,48%
Vordingborg,7485,"Nyord,Vordingborg",33,<10,,,,
Vordingborg,7486,"Keldby,Vordingborg",339,56,17%,7%,42%,35%
Vordingborg,7487,"Elmelunde,Vordingbor",300,35,12%,6%,40%,42%
Vordingborg,7488,"Borre,Vordingborg",370,76,21%,7%,33%,39%
Vordingborg,7489,"Magleby,Vordingborg",475,78,16%,4%,32%,48%
Vordingborg,7490,"Damsholte,Vordingbor",586,98,17%,9%,37%,38%
Vordingborg,7491,"Fanefjord,Vordingbor",1001,162,16%,6%,38%,39%
Vordingborg,7507,"Lundby,Vordingborg",646,85,13%,12%,37%,38%
Vordingborg,7508,"Køng,Vordingborg",827,87,11%,8%,42%,40%
Vordingborg,7509,"Sværdborg,Vordingbg",662,82,12%,10%,40%,38%
Vordingborg,7521,"Bogø,Vordingborg",879,91,10%,5%,34%,51%
Vordingborg,9109,"Stensby,Vordingborg",1258,155,12%,8%,35%,44%
Vordingborg,9247,"Svinø,Vordingborg",149,<10,,,,
Ærø,7713,"Ærøskøbing,Ærø",757,73,10%,7%,26%,57%
Ærø,7714,"Marstal,Ærø",2053,193,9%,10%,30%,51%
Ærø,7715,"Rise,Ærø",561,62,11%,11%,30%,48%
Ærø,7716,"Tranderup,Ærø",227,22,10%,10%,41%,40%
Ærø,7717,"Bregninge,Ærø",348,47,14%,9%,28%,50%
Ærø,7718,"Søby,Ærø",483,66,14%,11%,27%,48%
