"Første vacc. dato","regionskode_current","Regionsnavn","Antal første vacc.","regionskode_num"
2021-03-09,1085,Sjælland,1453,1085
2021-03-10,1081,Nordjylland,1174,1081
2021-03-10,1082,Midtjylland,2928,1082
2021-03-10,1083,Syddanmark,3058,1083
2021-03-10,1084,Hovedstaden,3029,1084
2021-03-10,1085,Sjælland,1862,1085
2021-03-11,1081,Nordjylland,953,1081
2021-03-11,1082,Midtjylland,1031,1082
2021-03-11,1083,Syddanmark,1182,1083
2021-03-11,1084,Hovedstaden,600,1084
2021-03-11,1085,Sjælland,794,1085
2021-03-12,1081,Nordjylland,264,1081
2021-03-12,1082,Midtjylland,769,1082
2021-03-12,1083,Syddanmark,1022,1083
2021-03-12,1084,Hovedstaden,1016,1084
2021-03-12,1085,Sjælland,274,1085
2021-03-13,1081,Nordjylland,145,1081
2021-03-13,1082,Midtjylland,348,1082
2021-03-13,1083,Syddanmark,1238,1083
2021-03-13,1084,Hovedstaden,2280,1084
2021-03-13,1085,Sjælland,506,1085
2021-03-14,1081,Nordjylland,12,1081
2021-03-14,1082,Midtjylland,27,1082
2021-03-14,1083,Syddanmark,902,1083
2021-03-14,1084,Hovedstaden,80,1084
2021-03-14,1085,Sjælland,210,1085
2021-03-15,1081,Nordjylland,164,1081
2021-03-15,1082,Midtjylland,996,1082
2021-03-15,1083,Syddanmark,1219,1083
2021-03-15,1084,Hovedstaden,333,1084
2021-03-15,1085,Sjælland,107,1085
2021-03-16,1081,Nordjylland,1293,1081
2021-03-16,1082,Midtjylland,1661,1082
2021-03-16,1083,Syddanmark,1163,1083
2021-03-16,1084,Hovedstaden,889,1084
2021-03-16,1085,Sjælland,1806,1085
2021-03-17,1081,Nordjylland,1424,1081
2021-03-17,1082,Midtjylland,3738,1082
2021-03-17,1083,Syddanmark,2056,1083
2021-03-17,1084,Hovedstaden,1937,1084
2021-03-17,1085,Sjælland,1597,1085
2021-03-18,1081,Nordjylland,1665,1081
2021-03-18,1082,Midtjylland,3488,1082
2021-03-18,1083,Syddanmark,1811,1083
2021-03-18,1084,Hovedstaden,5878,1084
2021-03-18,1085,Sjælland,1836,1085
2021-03-19,1081,Nordjylland,1133,1081
2021-03-19,1082,Midtjylland,1809,1082
2021-03-19,1083,Syddanmark,1569,1083
2021-03-19,1084,Hovedstaden,2980,1084
2021-03-19,1085,Sjælland,354,1085
2021-03-20,1081,Nordjylland,9,1081
2021-03-20,1082,Midtjylland,874,1082
2021-03-20,1083,Syddanmark,914,1083
2021-03-20,1084,Hovedstaden,153,1084
2021-03-20,1085,Sjælland,1014,1085
2021-03-21,1081,Nordjylland,1,1081
2021-03-21,1082,Midtjylland,618,1082
2021-03-21,1083,Syddanmark,747,1083
2021-03-21,1084,Hovedstaden,2275,1084
2021-03-21,1085,Sjælland,1332,1085
2021-03-22,1081,Nordjylland,139,1081
2021-03-22,1082,Midtjylland,2197,1082
2021-03-22,1083,Syddanmark,971,1083
2021-03-22,1084,Hovedstaden,99,1084
2021-03-22,1085,Sjælland,697,1085
2021-03-23,1081,Nordjylland,362,1081
2021-03-23,1082,Midtjylland,976,1082
2021-03-23,1083,Syddanmark,791,1083
2021-03-23,1084,Hovedstaden,2048,1084
2021-03-23,1085,Sjælland,1961,1085
2021-03-24,1081,Nordjylland,1442,1081
2021-03-24,1082,Midtjylland,2910,1082
2021-03-24,1083,Syddanmark,1398,1083
2021-03-24,1084,Hovedstaden,1515,1084
2021-03-24,1085,Sjælland,2617,1085
2021-03-25,1081,Nordjylland,1025,1081
2021-03-25,1082,Midtjylland,2481,1082
2021-03-25,1083,Syddanmark,1510,1083
2021-03-25,1084,Hovedstaden,1816,1084
2021-03-25,1085,Sjælland,920,1085
2021-03-26,1081,Nordjylland,1111,1081
2021-03-26,1082,Midtjylland,1572,1082
2021-03-26,1083,Syddanmark,1169,1083
2021-03-26,1084,Hovedstaden,906,1084
2021-03-26,1085,Sjælland,1419,1085
2021-03-27,1081,Nordjylland,2345,1081
2021-03-27,1082,Midtjylland,436,1082
2021-03-27,1083,Syddanmark,1119,1083
2021-03-27,1084,Hovedstaden,2884,1084
2021-03-27,1085,Sjælland,3211,1085
2021-03-28,1081,Nordjylland,2949,1081
2021-03-28,1082,Midtjylland,838,1082
2021-03-28,1083,Syddanmark,1067,1083
2021-03-28,1084,Hovedstaden,2983,1084
2021-03-28,1085,Sjælland,2962,1085
2021-03-29,1081,Nordjylland,110,1081
2021-03-29,1082,Midtjylland,4513,1082
2021-03-29,1083,Syddanmark,1564,1083
2021-03-29,1084,Hovedstaden,8127,1084
2021-03-29,1085,Sjælland,3697,1085
2021-03-30,1081,Nordjylland,71,1081
2021-03-30,1082,Midtjylland,5521,1082
2021-03-30,1083,Syddanmark,2339,1083
2021-03-30,1084,Hovedstaden,9033,1084
2021-03-30,1085,Sjælland,4727,1085
2021-03-31,1081,Nordjylland,65,1081
2021-03-31,1082,Midtjylland,7244,1082
2021-03-31,1083,Syddanmark,2162,1083
2021-03-31,1084,Hovedstaden,2607,1084
2021-03-31,1085,Sjælland,1038,1085
2021-04-01,1081,Nordjylland,9,1081
2021-04-01,1082,Midtjylland,1201,1082
2021-04-01,1083,Syddanmark,1534,1083
2021-04-01,1084,Hovedstaden,452,1084
2021-04-01,1085,Sjælland,1011,1085
2021-04-02,1081,Nordjylland,1570,1081
2021-04-02,1082,Midtjylland,1234,1082
2021-04-02,1083,Syddanmark,1724,1083
2021-04-02,1084,Hovedstaden,358,1084
2021-04-02,1085,Sjælland,15,1085
2021-04-03,1081,Nordjylland,805,1081
2021-04-03,1082,Midtjylland,367,1082
2021-04-03,1083,Syddanmark,1798,1083
2021-04-03,1084,Hovedstaden,5736,1084
2021-04-03,1085,Sjælland,3429,1085
2021-04-04,1081,Nordjylland,1338,1081
2021-04-04,1082,Midtjylland,831,1082
2021-04-04,1083,Syddanmark,1380,1083
2021-04-04,1084,Hovedstaden,5652,1084
2021-04-04,1085,Sjælland,2495,1085
2021-04-05,1081,Nordjylland,1775,1081
2021-04-05,1082,Midtjylland,939,1082
2021-04-05,1083,Syddanmark,2272,1083
2021-04-05,1084,Hovedstaden,5766,1084
2021-04-05,1085,Sjælland,1580,1085
2021-04-06,1081,Nordjylland,2173,1081
2021-04-06,1082,Midtjylland,5191,1082
2021-04-06,1083,Syddanmark,2493,1083
2021-04-06,1084,Hovedstaden,3438,1084
2021-04-06,1085,Sjælland,2731,1085
2021-04-07,1081,Nordjylland,1546,1081
2021-04-07,1082,Midtjylland,6707,1082
2021-04-07,1083,Syddanmark,4049,1083
2021-04-07,1084,Hovedstaden,3438,1084
2021-04-07,1085,Sjælland,909,1085
2021-04-08,1081,Nordjylland,1228,1081
2021-04-08,1082,Midtjylland,4892,1082
2021-04-08,1083,Syddanmark,2257,1083
2021-04-08,1084,Hovedstaden,3482,1084
2021-04-08,1085,Sjælland,1890,1085
2021-04-09,1081,Nordjylland,531,1081
2021-04-09,1082,Midtjylland,1578,1082
2021-04-09,1083,Syddanmark,4311,1083
2021-04-09,1084,Hovedstaden,6024,1084
2021-04-09,1085,Sjælland,4053,1085
2021-04-10,1081,Nordjylland,1568,1081
2021-04-10,1082,Midtjylland,133,1082
2021-04-10,1083,Syddanmark,3046,1083
2021-04-10,1084,Hovedstaden,8952,1084
2021-04-10,1085,Sjælland,3082,1085
2021-04-11,1081,Nordjylland,714,1081
2021-04-11,1082,Midtjylland,172,1082
2021-04-11,1083,Syddanmark,2549,1083
2021-04-11,1084,Hovedstaden,8898,1084
2021-04-11,1085,Sjælland,2566,1085
2021-04-12,1081,Nordjylland,9827,1081
2021-04-12,1082,Midtjylland,20952,1082
2021-04-12,1083,Syddanmark,20037,1083
2021-04-12,1084,Hovedstaden,26357,1084
2021-04-12,1085,Sjælland,16982,1085
2021-04-13,1081,Nordjylland,954,1081
2021-04-13,1082,Midtjylland,5735,1082
2021-04-13,1083,Syddanmark,2818,1083
2021-04-13,1084,Hovedstaden,6700,1084
2021-04-13,1085,Sjælland,2328,1085
2021-04-14,1081,Nordjylland,1403,1081
2021-04-14,1082,Midtjylland,4101,1082
2021-04-14,1083,Syddanmark,2209,1083
2021-04-14,1084,Hovedstaden,1565,1084
2021-04-14,1085,Sjælland,2160,1085
2021-04-15,1081,Nordjylland,565,1081
2021-04-15,1082,Midtjylland,4837,1082
2021-04-15,1083,Syddanmark,2474,1083
2021-04-15,1084,Hovedstaden,5573,1084
2021-04-15,1085,Sjælland,1868,1085
2021-04-16,1081,Nordjylland,3443,1081
2021-04-16,1082,Midtjylland,2754,1082
2021-04-16,1083,Syddanmark,5440,1083
2021-04-16,1084,Hovedstaden,4162,1084
2021-04-16,1085,Sjælland,1642,1085
2021-04-17,1081,Nordjylland,2847,1081
2021-04-17,1082,Midtjylland,1194,1082
2021-04-17,1083,Syddanmark,4654,1083
2021-04-17,1084,Hovedstaden,7781,1084
2021-04-17,1085,Sjælland,2346,1085
2021-04-18,1081,Nordjylland,1331,1081
2021-04-18,1082,Midtjylland,621,1082
2021-04-18,1083,Syddanmark,4096,1083
2021-04-18,1084,Hovedstaden,7388,1084
2021-04-18,1085,Sjælland,1068,1085
2021-04-19,1081,Nordjylland,2292,1081
2021-04-19,1082,Midtjylland,4887,1082
2021-04-19,1083,Syddanmark,5873,1083
2021-04-19,1084,Hovedstaden,8722,1084
2021-04-19,1085,Sjælland,3047,1085
2021-04-20,1081,Nordjylland,1240,1081
2021-04-20,1082,Midtjylland,7917,1082
2021-04-20,1083,Syddanmark,6050,1083
2021-04-20,1084,Hovedstaden,4590,1084
2021-04-20,1085,Sjælland,2237,1085
2021-04-21,1081,Nordjylland,2968,1081
2021-04-21,1082,Midtjylland,5488,1082
2021-04-21,1083,Syddanmark,5317,1083
2021-04-21,1084,Hovedstaden,5555,1084
2021-04-21,1085,Sjælland,3179,1085
2021-04-22,1081,Nordjylland,2625,1081
2021-04-22,1082,Midtjylland,6988,1082
2021-04-22,1083,Syddanmark,4795,1083
2021-04-22,1084,Hovedstaden,11247,1084
2021-04-22,1085,Sjælland,2575,1085
2021-04-23,1081,Nordjylland,4180,1081
2021-04-23,1082,Midtjylland,4598,1082
2021-04-23,1083,Syddanmark,5664,1083
2021-04-23,1084,Hovedstaden,3717,1084
2021-04-23,1085,Sjælland,4025,1085
2021-04-24,1081,Nordjylland,3138,1081
2021-04-24,1082,Midtjylland,255,1082
2021-04-24,1083,Syddanmark,3907,1083
2021-04-24,1084,Hovedstaden,6726,1084
2021-04-24,1085,Sjælland,894,1085
2021-04-25,1081,Nordjylland,1137,1081
2021-04-25,1082,Midtjylland,255,1082
2021-04-25,1083,Syddanmark,4258,1083
2021-04-25,1084,Hovedstaden,8242,1084
2021-04-25,1085,Sjælland,1322,1085
2021-04-26,1081,Nordjylland,1429,1081
2021-04-26,1082,Midtjylland,10169,1082
2021-04-26,1083,Syddanmark,6305,1083
2021-04-26,1084,Hovedstaden,10433,1084
